date,segment,sample.no,temp
29.2.20,160,4,29
29.2.20,160,5,29
29.2.20,160,6,30
11.3.20,117,1,29
11.3.20,117,2,28
11.3.20,117,3,26
11.3.20,117,4,26
11.3.20,117,5,25
11.3.20,117,6,25
13.3.20,7,1,28
13.3.20,7,2,27
13.3.20,7,3,26
13.3.20,7,4,26
13.3.20,7,5,27
13.3.20,7,6,26
14.3.20,23,1,29
14.3.20,23,2,28
14.3.20,23,3,27
14.3.20,23,4,28
14.3.20,23,5,28
14.3.20,23,6,28
16.3.20,158,1,26
16.3.20,158,2,25
16.3.20,158,3,24
16.3.20,158,4,25
16.3.20,158,5,25
16.3.20,158,6,25
22.3.20,30,1,31
22.3.20,30,2,30
22.3.20,30,3,30
22.3.20,30,4,29
22.3.20,30,5,27
22.3.20,30,6,28
19.3.20,124,1,31
19.3.20,124,2,28
19.3.20,124,3,28
19.3.20,124,4,28
19.3.20,124,5,29
19.3.20,124,6,30
5.3.20,122,1,27
5.3.20,122,2,25
5.3.20,122,3,27
5.3.20,122,4,27
5.3.20,122,5,27
5.3.20,122,6,27
1.3.20,121,1,27
1.3.20,121,2,26
1.3.20,121,3,28
1.3.20,121,4,27
1.3.20,121,5,27
1.3.20,121,6,27
2.3.20,119,1,30
2.3.20,119,2,29
2.3.20,119,3,27
2.3.20,119,4,27
2.3.20,119,5,26
2.3.20,119,6,26
24.3.20,118,1,28
24.3.20,118,2,28
24.3.20,118,3,27
24.3.20,118,4,26
24.3.20,118,5,26
24.3.20,118,6,28
21.3.20,12,1,32
21.3.20,12,2,30
21.3.20,12,3,30
21.3.20,12,4,30
21.3.20,12,5,30
21.3.20,12,6,30
21.3.20,14,1,29
21.3.20,14,2,28
21.3.20,14,3,25
21.3.20,14,4,26
21.3.20,14,5,26
21.3.20,14,6,26
9.3.20,156,1,31
9.3.20,156,2,30
9.3.20,156,3,28
9.3.20,156,4,27
9.3.20,156,5,27
9.3.20,156,6,27
8.3.20,152,1,29
8.3.20,152,2,29
8.3.20,152,3,28
8.3.20,152,4,26
8.3.20,152,5,26
8.3.20,152,6,27
25.3.20,154,1,30
25.3.20,154,2,27
25.3.20,154,3,29
25.3.20,154,4,28
25.3.20,154,5,28
