segment,replicate.no,obs.sp,total_attempts,success_attempts,duration,worms1,crabs1,fishfry1,mollusks1,success_prop,worms,crabs,mollusks,fishfry,food.div,food.rich,food.abund,high.count,total.count,prop.foraging,prop.preening,prop.locomotion,prop.resting,prop.alert,high.div,rich,high.abund,total.div,total.abund,temp,pref,island
27,1,Eurasian Curlew,23,10,3,0,0,0,0,0.434782609,800,0,0,0,0,1,800,7,2.5,0.933333333,0,0,0.066666667,0,0.878246728,5,45,0.736783077,17.66666667,22.16666667,prefers other foods,Nijhum Dweep
27,1,Common Sandpiper,33,22,3,4,0,7,1,0.666666667,800,0,0,0,0,1,800,1,0.166666667,1,0,0,0,0,0.878246728,5,45,0.736783077,17.66666667,22.16666667,prefers other foods,Nijhum Dweep
27,1,Common Redshank,55,26,3,0,0,0,0,0.472727273,800,0,0,0,0,1,800,2,0.666666667,0.5,0,0,0.5,0,0.878246728,5,45,0.736783077,17.66666667,22.16666667,prefers worms,Nijhum Dweep
27,1,Common Redshank,65,18,3,0,0,0,0,0.276923077,800,0,0,0,0,1,800,2,0.666666667,0.5,0,0,0.5,0,0.878246728,5,45,0.736783077,17.66666667,22.16666667,prefers worms,Nijhum Dweep
27,1,Lesser/Greater Sand-Plover,19,9,3,0,0,0,0,0.473684211,800,0,0,0,0,1,800,33,13.83333333,0.397590361,0.048192771,0.265060241,0.289156627,0,0.878246728,5,45,0.736783077,17.66666667,22.16666667,prefers worms,Nijhum Dweep
27,1,Eurasian Curlew,24,6,3,0,0,0,0,0.25,800,0,0,0,0,1,800,7,2.5,0.933333333,0,0,0.066666667,0,0.878246728,5,45,0.736783077,17.66666667,22.16666667,prefers other foods,Nijhum Dweep
27,1,Whimbrel,28,8,3,0,0,0,0,0.285714286,800,0,0,0,0,1,800,2,0.5,1,0,0,0,0,0.878246728,5,45,0.736783077,17.66666667,22.16666667,prefers other foods,Nijhum Dweep
27,1,Eurasian Curlew,18,6,3,0,0,0,0,0.333333333,800,0,0,0,0,1,800,7,2.5,0.933333333,0,0,0.066666667,0,0.878246728,5,45,0.736783077,17.66666667,22.16666667,prefers other foods,Nijhum Dweep
27,1,Common Redshank,37,17,3,0,0,0,0,0.459459459,800,0,0,0,0,1,800,2,0.666666667,0.5,0,0,0.5,0,0.878246728,5,45,0.736783077,17.66666667,22.16666667,prefers worms,Nijhum Dweep
27,1,Common Redshank,48,19,3,0,0,0,0,0.395833333,800,0,0,0,0,1,800,2,0.666666667,0.5,0,0,0.5,0,0.878246728,5,45,0.736783077,17.66666667,22.16666667,prefers worms,Nijhum Dweep
27,1,Lesser/Greater Sand-Plover,29,7,3,0,0,0,0,0.24137931,800,0,0,0,0,1,800,33,13.83333333,0.397590361,0.048192771,0.265060241,0.289156627,0,0.878246728,5,45,0.736783077,17.66666667,22.16666667,prefers worms,Nijhum Dweep
27,1,Lesser/Greater Sand-Plover,19,9,3,0,0,0,0,0.473684211,800,0,0,0,0,1,800,33,13.83333333,0.397590361,0.048192771,0.265060241,0.289156627,0,0.878246728,5,45,0.736783077,17.66666667,22.16666667,prefers worms,Nijhum Dweep
9,1,Common Greenshank,25,5,3,0,0,0,0,0.2,100,0,0,0,0,1,100,4,2.333333333,0.928571429,0.071428571,0,0,0,1.029778219,5,38,0.778190209,22,18,prefers worms,Nijhum Dweep
9,1,Black-headed Ibis,22,12,3,2,3,7,0,0.545454545,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,18,10,3,0,10,0,0,0.555555556,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,32,10,3,0,0,0,0,0.3125,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Common Greenshank,18,5,3,0,0,0,0,0.277777778,100,0,0,0,0,1,100,4,2.333333333,0.928571429,0.071428571,0,0,0,1.029778219,5,38,0.778190209,22,18,prefers worms,Nijhum Dweep
9,1,Common Greenshank,21,7,3,0,0,0,0,0.333333333,100,0,0,0,0,1,100,4,2.333333333,0.928571429,0.071428571,0,0,0,1.029778219,5,38,0.778190209,22,18,prefers worms,Nijhum Dweep
9,1,Eurasian Curlew,20,9,3,0,0,0,0,0.45,100,0,0,0,0,1,100,4,2,0.75,0.083333333,0.083333333,0.083333333,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Eurasian Curlew,24,11,3,0,0,0,0,0.458333333,100,0,0,0,0,1,100,4,2,0.75,0.083333333,0.083333333,0.083333333,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,22,8,3,0,0,0,0,0.363636364,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,21,9,3,0,0,0,0,0.428571429,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
