segment,replicate.no,obs.sp,total_attempts,success_attempts,duration,worms1,crabs1,fishfry1,mollusks1,success_prop,worms,crabs,mollusks,fishfry,food.div,food.rich,food.abund,high.count,total.count,prop.foraging,prop.preening,prop.locomotion,prop.resting,prop.alert,n,high.div,rich,high.abund,total.div,total.rich,total.abund,temp,dryweight,pref,island
27,1,Eurasian Curlew,16,6,3,0,0,0,0,0.375,884,0,34,0,0.156210171,2,917,7,3.333333333,0.975609756,0,0,0.024390244,0,2,0.468485216,12,741,0.846637442,11,71.33333333,23.66666667,302,prefers other foods,Nijhum Dweep
27,1,Lesser/Greater Sand-Plover,15,5,3,0,0,0,0,0.333333333,884,0,34,0,0.156210171,2,917,33,7,0.397590361,0.048192771,0.265060241,0.289156627,0,2,0.468485216,12,741,0.846637442,11,71.33333333,23.66666667,302,prefers worms,Nijhum Dweep
27,1,Eurasian Curlew,23,10,3,0,0,0,0,0.434782609,884,0,34,0,0.156210171,2,917,7,3.333333333,0.975609756,0,0,0.024390244,0,2,0.468485216,12,741,0.846637442,11,71.33333333,23.66666667,302,prefers other foods,Nijhum Dweep
27,1,Common Sandpiper,33,22,3,4,0,7,1,0.666666667,884,0,34,0,0.156210171,2,917,1,0,1,0,0,0,0,2,0.468485216,12,741,0.846637442,11,71.33333333,23.66666667,302,prefers other foods,Nijhum Dweep
27,1,Common Redshank,55,26,3,0,0,0,0,0.472727273,884,0,34,0,0.156210171,2,917,2,0.333333333,0.5,0,0,0.5,0,2,0.468485216,12,741,0.846637442,11,71.33333333,23.66666667,302,prefers worms,Nijhum Dweep
27,1,Common Redshank,65,18,3,0,0,0,0,0.276923077,884,0,34,0,0.156210171,2,917,2,0.333333333,0.5,0,0,0.5,0,2,0.468485216,12,741,0.846637442,11,71.33333333,23.66666667,302,prefers worms,Nijhum Dweep
27,1,Lesser/Greater Sand-Plover,19,9,3,0,0,0,0,0.473684211,884,0,34,0,0.156210171,2,917,33,7,0.397590361,0.048192771,0.265060241,0.289156627,0,2,0.468485216,12,741,0.846637442,11,71.33333333,23.66666667,302,prefers worms,Nijhum Dweep
27,1,Eurasian Curlew,24,6,3,0,0,0,0,0.25,884,0,34,0,0.156210171,2,917,7,3.333333333,0.975609756,0,0,0.024390244,0,2,0.468485216,12,741,0.846637442,11,71.33333333,23.66666667,302,prefers other foods,Nijhum Dweep
27,1,Whimbrel,28,8,3,0,0,0,0,0.285714286,884,0,34,0,0.156210171,2,917,2,0.333333333,1,0,0,0,0,2,0.468485216,12,741,0.846637442,11,71.33333333,23.66666667,302,prefers other foods,Nijhum Dweep
27,1,Eurasian Curlew,18,6,3,0,0,0,0,0.333333333,884,0,34,0,0.156210171,2,917,7,3.333333333,0.975609756,0,0,0.024390244,0,2,0.468485216,12,741,0.846637442,11,71.33333333,23.66666667,302,prefers other foods,Nijhum Dweep
27,1,Common Redshank,37,17,3,0,0,0,0,0.459459459,884,0,34,0,0.156210171,2,917,2,0.333333333,0.5,0,0,0.5,0,2,0.468485216,12,741,0.846637442,11,71.33333333,23.66666667,302,prefers worms,Nijhum Dweep
27,1,Common Redshank,48,19,3,0,0,0,0,0.395833333,884,0,34,0,0.156210171,2,917,2,0.333333333,0.5,0,0,0.5,0,2,0.468485216,12,741,0.846637442,11,71.33333333,23.66666667,302,prefers worms,Nijhum Dweep
27,1,Lesser/Greater Sand-Plover,29,7,3,0,0,0,0,0.24137931,884,0,34,0,0.156210171,2,917,33,7,0.397590361,0.048192771,0.265060241,0.289156627,0,2,0.468485216,12,741,0.846637442,11,71.33333333,23.66666667,302,prefers worms,Nijhum Dweep
27,1,Lesser/Greater Sand-Plover,19,9,3,0,0,0,0,0.473684211,884,0,34,0,0.156210171,2,917,33,7,0.397590361,0.048192771,0.265060241,0.289156627,0,2,0.468485216,12,741,0.846637442,11,71.33333333,23.66666667,302,prefers worms,Nijhum Dweep
9,1,Common Greenshank,25,5,3,0,0,0,0,0.2,300,0,150,0,0.636514168,2,450,4,1.166666667,0.928571429,0.071428571,0,0,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers worms,Nijhum Dweep
9,1,Black-headed Ibis,22,12,3,2,3,7,0,0.545454545,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,18,10,3,0,10,0,0,0.555555556,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,32,10,3,0,0,0,0,0.3125,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Common Greenshank,18,5,3,0,0,0,0,0.277777778,300,0,150,0,0.636514168,2,450,4,1.166666667,0.928571429,0.071428571,0,0,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers worms,Nijhum Dweep
9,1,Common Greenshank,21,7,3,0,0,0,0,0.333333333,300,0,150,0,0.636514168,2,450,4,1.166666667,0.928571429,0.071428571,0,0,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers worms,Nijhum Dweep
9,1,Eurasian Curlew,20,9,3,0,0,0,0,0.45,300,0,150,0,0.636514168,2,450,4,1,0.75,0.083333333,0.083333333,0.083333333,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Eurasian Curlew,24,11,3,0,0,0,0,0.458333333,300,0,150,0,0.636514168,2,450,4,1,0.75,0.083333333,0.083333333,0.083333333,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,22,8,3,0,0,0,0,0.363636364,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,21,9,3,0,0,0,0,0.428571429,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,24,13,3,0,0,0,0,0.541666667,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,23,13,3,0,0,0,0,0.565217391,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Eurasian Curlew,31,11,3,0,0,0,0,0.35483871,300,0,150,0,0.636514168,2,450,4,1,0.75,0.083333333,0.083333333,0.083333333,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Common Greenshank,23,7,3,0,0,0,0,0.304347826,300,0,150,0,0.636514168,2,450,4,1.166666667,0.928571429,0.071428571,0,0,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers worms,Nijhum Dweep
9,1,Black-headed Ibis,29,12,3,0,0,0,0,0.413793103,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,25,15,3,0,0,0,0,0.6,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,27,13,3,0,0,0,0,0.481481481,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Common Greenshank,18,5,3,0,0,0,0,0.277777778,300,0,150,0,0.636514168,2,450,4,1.166666667,0.928571429,0.071428571,0,0,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers worms,Nijhum Dweep
9,1,Common Greenshank,24,8,3,0,0,0,0,0.333333333,300,0,150,0,0.636514168,2,450,4,1.166666667,0.928571429,0.071428571,0,0,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers worms,Nijhum Dweep
9,1,Black-headed Ibis,21,6,3,0,0,0,0,0.285714286,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Common Greenshank,45,15,3,0,0,0,0,0.333333333,300,0,150,0,0.636514168,2,450,4,1.166666667,0.928571429,0.071428571,0,0,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers worms,Nijhum Dweep
9,1,Black-headed Ibis,32,12,3,2,0,10,0,0.375,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,26,13,3,0,0,0,0,0.5,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,22,14,3,0,0,0,0,0.636363636,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,20,6,3,0,0,0,0,0.3,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,13,3,3,0,0,0,0,0.230769231,300,0,150,0,0.636514168,2,450,26,9,0.587155963,0.100917431,0.174311927,0.137614679,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Common Greenshank,48,13,3,9,3,0,0,0.270833333,300,0,150,0,0.636514168,2,450,4,1.166666667,0.928571429,0.071428571,0,0,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers worms,Nijhum Dweep
9,1,Common Greenshank,55,18,3,0,0,0,0,0.327272727,300,0,150,0,0.636514168,2,450,4,1.166666667,0.928571429,0.071428571,0,0,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers worms,Nijhum Dweep
9,1,Eurasian Curlew,43,9,3,3,5,0,1,0.209302326,300,0,150,0,0.636514168,2,450,4,1,0.75,0.083333333,0.083333333,0.083333333,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Common Redshank,74,17,3,0,0,0,0,0.22972973,300,0,150,0,0.636514168,2,450,3,0.333333333,1,0,0,0,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers worms,Nijhum Dweep
9,1,Common Redshank,54,14,3,0,0,0,0,0.259259259,300,0,150,0,0.636514168,2,450,3,0.333333333,1,0,0,0,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers worms,Nijhum Dweep
9,1,Eurasian Curlew,32,8,3,0,0,0,0,0.25,300,0,150,0,0.636514168,2,450,4,1,0.75,0.083333333,0.083333333,0.083333333,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Eurasian Curlew,22,9,3,0,0,0,0,0.409090909,300,0,150,0,0.636514168,2,450,4,1,0.75,0.083333333,0.083333333,0.083333333,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers other foods,Nijhum Dweep
9,1,Common Redshank,59,16,3,0,0,0,0,0.271186441,300,0,150,0,0.636514168,2,450,3,0.333333333,1,0,0,0,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers worms,Nijhum Dweep
9,1,Common Greenshank,35,7,3,0,0,0,0,0.2,300,0,150,0,0.636514168,2,450,4,1.166666667,0.928571429,0.071428571,0,0,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers worms,Nijhum Dweep
9,1,Common Redshank,63,19,3,0,0,0,0,0.301587302,300,0,150,0,0.636514168,2,450,3,0.333333333,1,0,0,0,0,2,1.044601169,7,117,0.881088206,6,36.66666667,22,289,prefers worms,Nijhum Dweep
5,1,Eurasian Curlew,25,5,3,0,0,0,0,0.2,500,34,100,0,0.633039512,3,634,14,5.333333333,0.84375,0.03125,0,0.125,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers other foods,Nijhum Dweep
5,1,Common Redshank,67,7,3,0,0,0,0,0.104477612,500,34,100,0,0.633039512,3,634,3,1,1,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers worms,Nijhum Dweep
5,1,Eurasian Curlew,17,2,3,0,0,0,0,0.117647059,500,34,100,0,0.633039512,3,634,14,5.333333333,0.84375,0.03125,0,0.125,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers other foods,Nijhum Dweep
5,1,Common Greenshank,42,7,3,0,0,0,0,0.166666667,500,34,100,0,0.633039512,3,634,2,0.833333333,1,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers worms,Nijhum Dweep
5,1,Kentish Plover,28,3,3,0,0,0,0,0.107142857,500,34,100,0,0.633039512,3,634,2,0.333333333,1,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers other foods,Nijhum Dweep
5,1,Eurasian Curlew,21,6,3,0,3,0,0,0.285714286,500,34,100,0,0.633039512,3,634,14,5.333333333,0.84375,0.03125,0,0.125,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers other foods,Nijhum Dweep
5,1,Eurasian Curlew,19,2,3,0,0,0,0,0.105263158,500,34,100,0,0.633039512,3,634,14,5.333333333,0.84375,0.03125,0,0.125,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers other foods,Nijhum Dweep
5,1,Common Greenshank,36,7,3,0,0,0,0,0.194444444,500,34,100,0,0.633039512,3,634,2,0.833333333,1,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers worms,Nijhum Dweep
5,1,Eurasian Curlew,23,5,3,0,0,0,0,0.217391304,500,34,100,0,0.633039512,3,634,14,5.333333333,0.84375,0.03125,0,0.125,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers other foods,Nijhum Dweep
5,1,Eurasian Curlew,22,7,3,0,0,0,0,0.318181818,500,34,100,0,0.633039512,3,634,14,5.333333333,0.84375,0.03125,0,0.125,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers other foods,Nijhum Dweep
