"segment","replicate.no","worms","crabs","mollusks","fishfry","food.div","food.rich","food.abund","obs.sp","high.count","total.count","prop.foraging","prop.preening","prop.locomotion","prop.resting","prop.alert","high.div","rich","high.abund","total.div","total.abund","temp","pref","island"
1,1,8,6,15,0,1.02223230704371,3,29,"Spoon-billed Sandpiper",0,0,0,0,0,0,0,1.16782870295517,5,93,1.10388762014002,123,21.1666666666667,"prefers other foods","Nijhum Dweep"
1,1,8,6,15,0,1.02223230704371,3,29,"Temminck's Stint",0,0,0,0,0,0,0,1.16782870295517,5,93,1.10388762014002,123,21.1666666666667,"prefers worms","Nijhum Dweep"
1,1,8,6,15,0,1.02223230704371,3,29,"Terek Sandpiper",0,0,0,0,0,0,0,1.16782870295517,5,93,1.10388762014002,123,21.1666666666667,"prefers worms","Nijhum Dweep"
1,1,8,6,15,0,1.02223230704371,3,29,"Whimbrel",0,0,0,0,0,0,0,1.16782870295517,5,93,1.10388762014002,123,21.1666666666667,"prefers other foods","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Asian Dowitcher",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Bar-tailed Godwit",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Black-headed Ibis",1,1,1,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers other foods","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Black-tailed Godwit",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Broad-billed Sandpiper",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Common Greenshank",4,9,0.777777777777778,0,0,0.222222222222222,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Common Redshank",32,134,0.955223880597015,0.0298507462686567,0,0.0149253731343284,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Common Sandpiper",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Curlew Sandpiper",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Dunlin",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Eurasian Curlew",2,5,1,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers other foods","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Great Knot",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers other foods","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Great Thick-knee",2,12,0,0.166666666666667,0,0.833333333333333,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers other foods","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Grey-headed Lapwing",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers other foods","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Grey Plover",39,100,0.3,0,0,0.7,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Kentish Plover",2,4,0.5,0,0,0.5,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers other foods","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Lesser Sand Plover",19,47,0.829787234042553,0,0,0.170212765957447,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Little Ringed Plover",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Little Stint",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Nordmann's Greenshank/",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Pacific Golden-Plover",38,50,0.28,0,0,0.72,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Pied Avocet",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Red Knot",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers other foods","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Ruddy Turnstone",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers other foods","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Ruff",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Sanderling",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Small Pratincole",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Spoon-billed Sandpiper",0,0,0,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers other foods","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Temminck's Stint",3,11,1,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Terek Sandpiper",3,5,1,0,0,0,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers worms","Nijhum Dweep"
1,2,27,6,3,0,0.721463686692511,3,36,"Whimbrel",1,2,0.5,0,0,0.5,0,1.80380660785724,12,146,1.74969167569881,380,28.6666666666667,"prefers other foods","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Asian Dowitcher",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Bar-tailed Godwit",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Black-headed Ibis",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers other foods","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Black-tailed Godwit",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Broad-billed Sandpiper",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Common Greenshank",3,5,0.4,0.4,0.2,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Common Redshank",11,44,0.772727272727273,0.0909090909090909,0.136363636363636,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Common Sandpiper",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
