,GroupID,Station,Edge_Type,EXP,Replicate,OSO,ABO,CSO,OBO,BHO,SBEO,BWO,MSO,CO,BFO,Total_Ind,Total_Sp.,Tree.density,GBH,H,liana,p_lia
50,ETE,ETE14,TE,ST,1,0,1,2,0,2,0,0,0,0,0,5,3,NA,NA,NA,NA,NA
51,ETE,ETE13,TE,ST,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
52,ETE,ETE131415,TE,GT,1,0,1,2,0,2,0,0,0,0,0,5,3,NA,NA,NA,NA,NA
53,DTE,DTE12,TE,ST,1,0,2,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,NA,NA
54,DTE,DTE11,TE,ST,1,0,1,2,0,1,0,0,0,0,0,4,3,NA,NA,NA,NA,NA
55,DTE,DTE10,TE,ST,1,1,0,0,0,1,0,0,0,0,0,2,2,NA,NA,NA,NA,NA
56,DTE,DTE101112,TE,GT,1,1,3,2,0,2,0,0,0,0,0,8,4,NA,NA,NA,NA,NA
57,GTE,GTE21,TE,ST,1,1,5,0,0,2,0,0,0,0,0,8,3,NA,NA,NA,NA,NA
58,GTE,GTE20,TE,ST,1,4,2,3,0,3,0,0,0,0,0,12,4,NA,NA,NA,NA,NA
59,GTE,GTE19,TE,ST,1,3,1,2,0,2,0,0,0,0,0,8,4,NA,NA,NA,NA,NA
60,GTE,GTE192021,TE,GT,1,8,8,5,0,7,0,0,0,0,0,28,4,NA,NA,NA,NA,NA
61,CTE,CTE9,TE,ST,1,1,1,0,0,2,0,0,0,0,0,4,3,NA,NA,NA,NA,NA
62,CTE,CTE8,TE,ST,1,1,1,1,0,2,0,0,0,0,0,5,4,NA,NA,NA,NA,NA
63,CTE,CTE7,TE,ST,1,3,3,2,0,3,0,0,0,0,0,11,4,NA,NA,NA,NA,NA
64,CTE,CTE789,TE,GT,1,5,5,3,0,7,0,0,0,0,0,20,4,NA,NA,NA,NA,NA
65,ESR,ESR15,SR,ST,1,1,4,0,0,1,0,0,0,0,0,6,3,108,33.49074,8.407407,54,50
66,ESR,ESR14,SR,ST,1,1,0,0,0,0,0,0,0,0,0,1,1,86,43.7907,10.63953,19,22.09302326
67,ESR,ESR13,SR,ST,1,1,3,1,0,0,0,0,0,0,0,5,3,81,39.25926,10.50617,5,6.172839506
68,ESR,ESR131415,SR,GT,1,3,7,1,0,1,0,0,0,0,0,12,4,91.66666667,38.8469,9.851035667,26,26.08862092
69,CSR,CSR7,SR,ST,1,2,0,0,0,0,0,0,2,0,0,4,2,132,32.72727,8.121212,33,25
70,CSR,CSR8,SR,ST,1,2,2,0,0,0,0,0,1,0,0,5,3,113,29.46903,7.982301,23,20.3539823
71,CSR,CSR9,SR,ST,1,1,0,1,0,0,0,0,2,0,0,4,3,100,41.25,11.04,11,11
72,CSR,CSR789,SR,GT,1,5,2,1,0,0,0,0,5,0,0,13,4,115,34.4821,9.047837667,22.33333333,18.78466077
73,FSR,FSR18,SR,ST,1,0,1,0,0,0,0,0,0,1,0,2,2,111,42.93694,12.8018,14,12.61261261
74,FSR,FSR17,SR,ST,1,0,2,0,0,3,0,0,0,2,1,8,4,113,32.12389,9.300885,23,20.3539823
75,FSR,FSR16,SR,ST,1,2,0,0,0,0,0,0,2,0,0,4,2,119,37.7563,10.26891,35,29.41176471
76,FSR,FSR161718,SR,GT,1,2,3,0,0,3,0,0,2,3,1,14,6,114.3333333,37.60571,10.79053167,24,20.79278654
77,FPE,FPE16,PE,ST,1,1,3,1,0,1,0,0,0,0,0,6,4,NA,NA,NA,NA,NA
78,FPE,FPE18,PE,ST,1,1,3,2,0,3,0,0,0,0,0,9,4,NA,NA,NA,NA,NA
79,FPE,FPE17,PE,ST,1,2,1,2,0,2,0,0,0,0,0,7,4,NA,NA,NA,NA,NA
80,FPE,FPE161718,PE,GT,1,4,7,5,0,6,0,0,0,0,0,22,4,NA,NA,NA,NA,NA
